name,org,school,company,industry
Tom Halterman,Sigma Alpha Epsilon (F),University of Iowa,Outcomes MTM,Health
William T. Young,Sigma Alpha Epsilon (F),University of Kentucky,JIF,Food/Beverage
Chris Sullivan,Sigma Alpha Epsilon (F),University of Kentucky,Outback Steakhouse,Food/Beverage
Aubrey McClendon,Sigma Alpha Epsilon (F),Duke University,Chesapeake Energy Corporation,Utilities/Energy
Howard Wood,Sigma Alpha Epsilon (F),"Washington University, St. Louis",Charter Communications,Media
John Thompson Dorrance,Sigma Alpha Epsilon (F),Massachusetts Institute of Technology,Campbell's Soup,Food/Beverage
Paul Tudor Jones,Sigma Alpha Epsilon (F),University of Virginia,Tudor Investment Corporation,Finance
Cecil B. Day,Sigma Alpha Epsilon (F),Georgia Institute of Technology,Days Inn,Leisure/Hospitality
Bobby Jones,Sigma Alpha Epsilon (F),Georgia Institute of Technology,"Augusta National Golf Club, The Masters Tournament",Sports
Leslie Wexner,Sigma Alpha Mu (F),Ohio State University,Limited Brands,Retail
Steve Wynn,Sigma Alpha Mu (F),University of Pennsylvania,Wynn Resorts,Leisure/Hospitality
Michael Krasny,Sigma Alpha Mu (F),University of Illinois,CDW,Technology
Ron Baron,Sigma Alpha Mu (F),Bucknell University,Baron Capital,Finance
Irwin M. Jacobs,Sigma Alpha Mu (F),Cornell University,Qualcomm,Technology
Gerry Schwartz,Sigma Alpha Mu (F),University of Manitoba,CanWest Global Communications,Media
George Zimmer,Sigma Alpha Mu (F),"Washington University, St. Louis",Men's Wearhouse,Retail
Harry Glickman,Sigma Alpha Mu (F),University of Oregon,Portland Trail Blazers,Sports
George Yu,Sigma Beta Rho (F),University of Georgia,WindPouch,Retail
Jeff Arnold,Sigma Chi (F),University of Georgia,WebMD,Health
Reggie Bradford,Sigma Chi (F),University of Georgia,ViTrue,Professional/Business Services
George W. Bryan,Sigma Chi (F),Mississippi State University,Old Waverly Golf Club,Sports
Alex d'Arbeloff,Sigma Chi (F),Massachusetts Institute of Technology,Teradyne,Manufacturing
Toxey Haas,Sigma Chi (F),Mississippi State University,Haas Outdoors,Retail
James Haslam Jr.,Sigma Chi (F),Tennessee,"Pilot Flying J, formerly Pilot Travel Centers",Transportation
"E.W. ""Ed"" Kelley",Sigma Chi (F),"Indiana University, Bloomington",Kelley & Partners,Professional/Business Services
Keith J. Krach,Sigma Chi (F),Purdue University,Ariba,Professional/Business Services
Kenneth Langone,Sigma Chi (F),Bucknell University,Home Depot,Retail
E.W. Marland,Sigma Chi (F),University of Michigan,Marland Oil Company,Utilities/Energy
Matthew Simmons,Sigma Chi (F),University of Utah,Simmons & Company International,Finance
Bob Swanson,Sigma Chi (F),Massachusetts Institute of Technology,Genentech,Health
Charles Watson,Sigma Chi (F),Oklahoma State University,"Dynegy, formerly The Natural Gas Clearinghouse",Utilities/Energy
Matt Salzberg,Sigma Chi (F),Harvard University,Blue Apron,Food/Beverage
Charles R. Schwab,Sigma Nu (F),Stanford University,Charles Schwab Corporation,Finance
Kevin Systrom,Sigma Nu (F),Stanford University,Instagram,Technology
Richard M. DeVos,Sigma Phi Epsilon (F),Grand Valley State University,Amway,Retail
Walter Hailey Jr.,Sigma Phi Epsilon (F),"University of Texas, Austin","Coda Energy, American Physicians Service",Utilities/Energy
Bill Tragos,Sigma Phi Epsilon (F),"Washington University, St. Louis",TBWA Advertising,Professional/Business Services
Curtis L. Carlson,Sigma Phi Epsilon (F),University of Minnesota,Carlson,Leisure/Hospitality
Jay Walker,Sigma Phi Society (F),Cornell University,Priceline.com,Transportation
Arthur Nielsen Sr.,Sigma Phi Society (F),University of Wisconsin-Madison,Nielsen Corporation,Media
John Zimmer,Sigma Pi (F),Cornell University,"Lyft, formerly Zimride",Transportation
W.M. Kiplinger,Sigma Pi (F),Ohio State University,Kiplinger,Media
Marc Benioff,Tau Kappa Epsilon (F),University of Southern California,Salesforce.com,Professional/Business Services
Travis Kalanick,Theta Xi (F),"University of California, Los Angeles",Uber,Transportation
Jim Davis,Theta Xi (F),Ball State University,Paws INC,Entertainment
Ryan Harwood,Zeta Beta Tau (F),University of Pennsylvania,PureWow,Media
Zach Weinberg,Zeta Beta Tau (F),University of Pennsylvania,"Invite Media, Flatiron Health",Health
David Tisch,Zeta Beta Tau (F),University of Pennsylvania,TechStars NYC,Professional/Business Services
Jonathan Marcus,Zeta Beta Tau (F),University of Pennsylvania,"Goodsie.com, Flavors.me",Technology
John Templeton,Zeta Psi (F),Yale University,Templeton Funds,Finance
Dean G. Witter,Zeta Psi (F),"University of California, Berkeley",Witter & Co.,Finance
Ian Murray,Zeta Psi (F),Lafayette College,Vineyard Vines,Food/Beverage
Julian Robertson Jr.,Zeta Psi (F),University of North Carolina at Chapel Hill,Tiger Management,Finance
Vic Singh,Zeta Psi (F),University of Pennsylvania,Kanvas Labs,Technology
Erica Diaz,Omega Phi Beta (S),Rutgers University,Your Best Event,Professional/Business Services
Jessica Marie Saul,Omega Phi Beta (S),State University of New York at Albany,Art of Stepping,Education
Jessica Toro,Omega Phi Beta (S),Syracuse University,Ayari's Brides,Health
Karla Ayala-Quervalu,Omega Phi Beta (S),Hunter College,Karla Samantha Photography,Professional/Business Services
Rhina Valentin,Omega Phi Beta (S),Manhattan Community College,La Reina Del Barrio,Media
Paige Adams-Geller,Delta Gamma (S),University of Southern California,Paige Denim,Retail
Cheryl Crawford,Delta Gamma (S),Buchtel College (now University of Akron),"Group Theater, Actor's Studio",Entertainment
Pandora Vanderpump-Sabo,Delta Gamma (S),Pepperdine University,The Divine Addiction,Media
Erin Condren,Delta Gamma (S),UCLA,Erin Condren Design,Retail
Elizabeth McKay,Kappa Kappa Gamma (S),St. Lawrence University,Elizabeth McKay,Retail
Kate Spade,Kappa Kappa Gamma (S),University of Kansas,Kate Spade New York,Retail
Margaret Hillis,Kappa Kappa Gamma (S),Indiana University,Chicago Symphony Chorus,Entertainment
Patty Berg,Kappa Kappa Gamma (S),University of Minnesota,Ladies Professional Golf Association,Sports
Joan Ganz Cooney,Kappa Alpha Theta (S),University of Arizona,"Sesame Workshop, formerly Children's Television Workshop",Entertainment
Melinda Gates,Kappa Alpha Theta (S),Duke University,Bill & Melinda Gates Foundation,Health
Barbara Pierce Bush,Kappa Alpha Theta (S),Yale University,Global Health Corp,Health
S. June Smith,Alpha Sigma Alpha (S),Temple University,S. June Smith Center,Health
Susan Lacek,Alpha Phi (S),Northern Illinois,Faith's Lodge,Health
Tara Lawrence,Alpha Phi (S),Pepperdine,Hats Off for Cancer,Health
Edris Rice-Wray Carson,Alpha Phi (S),Cornell University,Mexico's first family planning clinic (name unknown),Health
Reagan Howell,Alpha Chi Omega (S),University of North Carolina at Chapel Hill,Southern Proper,Retail
Laura Shawver,Alpha Chi Omega (S),University of Iowa,The Clearity Foundation,Health
Mary Cruikshank Grefe,Alpha Delta Pi (S),Morningside College,LEAD Associates,Professional/Business Services
Freita Fuller Keluche,Alpha Delta Pi (S),Auburn University,Ancient Ways of Knowing Foundation,Nonprofit
Sara Crews Finley,Zeta Tau Alpha (S),University of Alabama,Lab of Medical Genetics,Health
Shonda Brewer Schilling,Zeta Tau Alpha (S),Towson University,Shade Foundation of America,Health
Phyllis George,Zeta Tau Alpha (S),University of North Texas,Chicken by George,Food/Beverage
Betty Nguyen,Zeta Tau Alpha (S),University of Texas at Austin,Help the Hungry,Food/Beverage
Marilyn Salinger,Sigma Delta Tau (S),Indiana University,Strategic Communications Services,Media
Liz Schrayer,Sigma Delta Tau (S),University of Michigan,U.S. Global Leadership Coalition,Nonprofit
Phyllis Satinsky Sudman,Sigma Delta Tau (S),Ohio State University,Simon's Fund,Health
Lynn Price,Sigma Delta Tau (S),University of Illinois,Camp To Belong,Nonprofit
Sherry Lansing,Sigma Delta Tau (S),Northwestern University,Sherry Lansing Foundation,Health
Myiesha Taylor,Sigma Gamma Rho (S),Xavier University of Louisiana,Artemis Medical Society,Health
Laura Deming,Sigma Kappa (S),Massachusetts Institute of Technology,The Longevity Fund,Finance
Linda Denham,Sigma Sigma Sigma (S),Miami University (Ohio),Care Bears,Retail
Tammy Cohen,Phi Mu (S),Louisiana Tech University,InfoMart,Professional/Business Services
Nancy Goodman Brinker,Alpha Epsilon Phi (S),University of Illinois at Urbana_Ÿ__Champaign,Susan G. Komen,Health
Donna Stone Pesch,Kappa Delta (S),Northwestern University,Prevent Child Abuse America,Nonprofit
Ruth Colvin,Kappa Delta (S),Northwestern University,"ProLiteracy Worldwide, formerly Literacy Volunteers of America",Education
Pearl Sydenstricker Buck,Kappa Delta (S),Randolph-Macon College,East and West Association,Education
Patricia Polito Miller,Kappa Delta (S),Indiana University,Vera Bradley Designs,Retail
Leigh Anne Tuohy,Kappa Delta (S),University of Mississippi,Making it Happen Foundation,Nonprofit
Patricia Wood Barnes,Kappa Delta (S),Troy University,Sister Schubert's Rolls,Food/Beverage
Emily Elizabeth Douglas,Kappa Delta (S),Miami University,Grandma's Gifts,Nonprofit
Mary Wells Lawrence,Kappa Alpha Theta (S),Carnegie Mellon University,Wells Rich Greene,Professional/Business Services
Megan Calhoun,Kappa Alpha Theta (S),Indiana University,SocialMoms Network,Professional/Business Services
Lee Ducat,Delta Phi Epsilon (S),University of Pennsylvania,Juvenile Diabetes Foundation,Health
Phyllis Kossoff,Delta Phi Epsilon (S),Hunter College (part of CUNY),Cystic Fibrosis Research Foundation,Health
Mignon Faget,Chi Omega (S),Tulane University,Mignon Faget,Retail
Alice Marriott,Chi Omega (S),University of Utah,"Marriott Corporation, formerly Hot Shoppe",Food/Beverage
Carolyn Rafaelian,Alpha Xi Delta (S),University of Rhode Island,Alex and Ani,Retail
Jane Henson,Alpha Xi Delta (S),University of Maryland,Muppets,Entertainment
Mary Doremus,Alpha Xi Delta (S),N/A,Challenge International,Health
Kathy Spetz,Alpha Xi Delta (S),Florida State University,Spetz Productions,Professional/Business Services
Carol Tuttle,Alpha Epsilon Phi (S),Northwestern University,Sinnet,Retail
Miriam Freund Rosenthal,Alpha Epsilon Phi (S),New York University,Intercollegiate Zionist Youth Federation of America,Other
Elizabeth Meyer Glaser,Alpha Epsilon Phi (S),University of Wisconsin,Elizabeth Glaser Pediatric AIDS Foundation,Health
Susie Bernstein Zeegen,Alpha Epsilon Phi (S),University of Southern California,Elizabeth Glaser Pediatric AIDS Foundation,Health
Jani Macari Pallis,Alpha Gamma Delta (S),Georgia Institue of Technology,Cislunar Aerospace,Technology
Millie McWilliams Jeffrey,Alpha Gamma Delta (S),University of Minnesota,National Women's Political Caucus,Nonprofit
Margaret Moffat Toy,Alpha Gamma Delta (S),N/A,Meals on Wheels,Food/Beverage
Ann Potter Person,Alpha Gamma Delta (S),University of Oregon,Stretch and Sew,Retail
Lydia Melcher Frenzel,Alpha Gamma Delta (S),University of Texas at Austin,Advisory Council,Media
Jessie Wallace Hughan,Alpha Omicron Pi (S),Barnard College,War Resisters League,Nonprofit
Stephne' Coney,Delta Sigma Theta (S),Johnson C. Smith University,National Stop the Violence Alliance,Law
Amy Hilliard,Delta Sigma Theta (S),Howard University,The ComfortCake Company,Food/Beverage
Marion Stubbs Thomas,Delta Sigma Theta (S),University of Pennsylvania,Jack and Jill of America,Education
Cora Masters Barry,Delta Sigma Theta (S),Howard University,"Southeast Tennis and Learning Center, Recreation Wish List Committee",Sports
Mia Knight Wright,Alpha Kappa Alpha (S),"University of Texas, Austin",Metamorphosis Empowerment Conference,Other
Frederica Wilson,Alpha Kappa Alpha (S),Fisk University,5000 Role Models of Excellence,Other
Linda Gill,Alpha Kappa Alpha (S),Dartmouth College,Kimani Press,Media
Chauniece Conner,Alpha Kappa Alpha (S),University of Memphis,Ballet on Wheels,Education
